category,Original Text,Confidence,Context,Context,Argument 1,Argument 1,Relation,Relation,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Claim Id
34,"""""BARACK OBAMA SEPARATED 72,410 CHILDREN FROM THEIR FAMILIES IN 2013 ALONE""""",0.9120890140090938,,,BARACK OBAMA,"(5, 17)",SEPARATED,"(18, 27)","72,410 CHILDREN","(28, 43)",FROM THEIR FAMILIES,"(44, 63)",,,,,IN 2013,"(64, 71)",,,,,,,,,20
37,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.9365537152932236,other Trump campaign officials agreed,"(0, 37)",other Trump campaign officials,"(0, 30)",agreed to meet,"((31, 37), (38, 45))",Natalia Veselnitskaya,"(46, 67)",,,,,,,in June 2016,"(83, 95)",,,,,at Trump Tower,"(68, 82)",,,23
38,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.9594694574848391,,,other Trump campaign officials,"(0, 30)",agreed,"(31, 37)",to meet Natalia Veselnitskaya at Trump Tower in June 2016,"(38, 95)",,,,,,,,,,,,,,,,,23
39,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.5222094630377523,,,she,"(116, 119)",was,"(120, 123)",a representative of the Russian government,"(124, 166)",,,,,,,,,,,,,,,,,23
40,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.3198909572915085,,,they,"(98, 102)",did n't know,"(103, 115)",,,,,,,,,,,,,,,,,,,23
41,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.3853208301752743,,,she,"(112, 115)",was a representative of,"(116, 139)",the Russian government,"(140, 162)",,,,,,,,,,,,,,,,,23
42,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.9279812910556979,Donald Trump Jr agreed they did n't know she was,"(11, 119)",Donald Trump Jr,"(11, 26)",agreed to meet,"((27, 33), (34, 41))",Natalia Veselnitskaya,"(42, 63)",,,,,,,in June 2016,"(79, 91)",,,,,at Trump Tower,"(64, 78)",,,23
43,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.9538406488678464,they did n't know she was,"(94, 119)",Donald Trump Jr,"(11, 26)",agreed,"(27, 33)",to meet Natalia Veselnitskaya at Trump Tower in June 2016,"(34, 91)",,,,,,,,,,,,,,,,,23
44,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.4569402361344342,they did n't know,"(94, 111)",she,"(112, 115)",was,"(116, 119)",a representative of the Russian government,"(120, 162)",,,,,,,,,,,,,,,,,23
45,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.4008138313017749,,,they,"(94, 98)",did n't know,"(99, 111)",she was a representative of the Russian government,"(112, 162)",,,,,,,,,,,,,,,,,23
50,"""Rep. Steve Pearce was “twice named one of the most corrupt members of Congress by an independent watchdog group.”""",0.9512666111846813,,,Rep. Steve Pearce,"(3, 20)",was named,"((21, 24), (32, 37))",one of the most corrupt members of Congress,"(38, 81)",by an independent watchdog group,"(82, 114)",,,,,twice,"(26, 31)",,,,,,,,,27
54,"""""McCain ‘Accidentally’ Killed 134 U.S. Soldiers While Serving In Navy""""",0.9990000128746032,,,McCain Accidentally,"(0, 0)",Killed,"(0, 0)",134 u.s. soldiers,,,,,,,,,,,,,,,,,,32
55,"""""McCain ‘Accidentally’ Killed 134 U.S. Soldiers While Serving In Navy""""",0.9339862216393666,,,McCain 'Accidentally,"(5, 25)",Killed,"(27, 33)",134 U.S. Soldiers,"(34, 51)",,,,,,,While Serving In Navy,"(52, 73)",,,,,,,,,32
65,"""In 1984, Ronald Reagan ""won every state except one, the great state of Wisconsin.""""",0.9619731314731844,,,Ronald Reagan,"(12, 25)",won,"(28, 31)",every state,"(32, 43)",,,,,,,except one,"(44, 54)",In 1984,"(3, 10)",,,,,,,39
67,"""A new Supreme Court justice could overturn preexisting condition protections and ""take us back to a time when insurance companies could deny you coverage.”""",0.9327330412371158,,,insurance companies,"(93, 112)",could deny,"(113, 123)",coverage,"(128, 136)",,,,,,,a time,"(81, 87)",,,,,,,,,41
68,"""A new Supreme Court justice could overturn preexisting condition protections and ""take us back to a time when insurance companies could deny you coverage.”""",0.9015729910252602,,,A new Supreme Court justice,"(6, 33)",could overturn,"(34, 48)",preexisting   take us back to a time,"(49, 87)",,,,,,,,,,,,,,,,,41
69,"""A new Supreme Court justice could overturn preexisting condition protections and ""take us back to a time when insurance companies could deny you coverage.”""",0.9440561738862281,,,A new Supreme Court justice,"(6, 33)",could overturn,"(34, 48)",preexisting condition protections,"(49, 82)",,,,,,,,,,,,,,,,,41
74,"""""Prior to last year, where I attended my first meeting, it was going down — the amount of money being spent [on defense] by [NATO] countries was going down and down very substantially.""""",0.9189132692729602,,,the amount of money,"(87, 106)",being spent,"(107, 118)",by ( NATO ] countries,"(134, 155)",was going down very substantially,"(156, 189)",,,,,,,,,,,,,,,45
75,"""""KAMALA HARRIS Says Schools in Berkeley Weren’t Integrated When She Was a Kid — But Yearbook Pictures Prove She’s Lying.""""",0.16235220060090308,She Was,"(68, 75)",She,"(112, 115)",'s Lying,"(115, 123)",,,,,,,,,,,,,,,,,,,46
76,"""""KAMALA HARRIS Says Schools in Berkeley Weren’t Integrated When She Was a Kid — But Yearbook Pictures Prove She’s Lying.""""",0.20454204683219115,,,She,"(68, 71)",Was,"(72, 75)",,,,,,,,,,,,,,,,,,,46
77,"""""KAMALA HARRIS Says Schools in Berkeley Weren’t Integrated When She Was a Kid — But Yearbook Pictures Prove She’s Lying.""""",0.9210485895481192,KAMALA HARRIS Says,"(5, 23)",Schools in Berkeley,"(24, 43)",Were n't,"(44, 51)",Integrated,"(52, 62)",,,,,,,When She Was a Kid - But Yearbook Pictures Prove She's Lying,"(63, 123)",,,,,,,,,46
78,"""""KAMALA HARRIS Says Schools in Berkeley Weren’t Integrated When She Was a Kid — But Yearbook Pictures Prove She’s Lying.""""",0.8622921126987754,,,KAMALA HARRIS,"(5, 18)",Says,"(19, 23)",Schools in Berkeley Weren't Integrated,"(24, 62)",,,,,,,,,,,,,,,,,46
84,"""""Business associates of"" William Browder ""sent a huge amount of money – 400 million – as a contribution to the campaign of Hillary Clinton.""""",0.9650686322731568,,,Business associates of William Browder,"(5, 45)",sent,"(48, 52)",a huge amount of money - 400 million,"(53, 89)",as a contribution to the campaign of Hillary Clinton,"(92, 144)",,,,,,,,,,,,,,,50
85,"""“Joining ‘Soros Funded’ Antifa Is Now Illegal, Punishable By 15 Years In Prison”""",0.8582970792332905,,,Joining 'Soros Funded,"(4, 25)",Is,"(34, 36)",Illegal,"(41, 48)",,,,,,,Now,"(37, 40)",,,,,,,,,51
86,"""""Unemployment is low because everyone has two jobs.""""",0.9181538107823964,,,everyone,"(33, 41)",has,"(42, 45)",two jobs,"(46, 54)",,,,,,,,,,,,,,,,,52
87,"""""Unemployment is low because everyone has two jobs.""""",0.9181538107823964,,,Unemployment,"(5, 17)",is,"(18, 20)",low,"(21, 24)",because everyone has two jobs,"(25, 54)",,,,,,,,,,,,,,,52
88,"""“For the first time in the 242 year history of the United States of America, a one-year-old child appears in court as a defendant.”""",0.9811486755381116,,,a one-year-old child,"(80, 100)",appears,"(101, 108)",,,,,,,,,For the first time in the 242 year history of the United States of America,"(4, 78)",,,,,in court,"(109, 117)",,,53
89,"""""Puerto Rico Mayor Facing Fraud Charges Over $3M In Federal Disaster Relief""""",0.9436221120476838,,,Puerto Rico Mayor,"(5, 22)",Facing,"(23, 29)",Fraud Charges,"(30, 43)",,,,,,,,,,,,,Over $3M In Federal Disaster Relief,"(44, 79)",,,54
90,"""""Puerto Rico Mayor Facing Fraud Charges Over $3M In Federal Disaster Relief""""",0.9436221120476838,,,Puerto Rico Mayor,"(5, 22)",Facing,"(23, 29)",Fraud Charges,"(30, 43)",,,,,,,,,,,,,Over $3M In Federal Disaster Relief,"(44, 79)",,,7284
92,"""""Farmers have been on a downward trend for 15 years.""""",0.8942434158739456,,,Farmers,"(5, 12)",have been,"(13, 22)",on a downward trend,"(23, 42)",,,,,,,for 15 years,"(43, 55)",,,,,,,,,56
132,"""""Actress Sandra Bullock: 'Donald Trump Is Doing Everything To Improve Our Nation, If You Don’t Like Him Just…'""""",0.8406891599730786,Donald Trump Is Doing,"(30, 51)",Donald Trump,"(30, 42)",Is Doing Everything To Improve,"((43, 51), (52, 65))",Our Nation,"(74, 84)",,,,,,,,,,,,,,,,,85
133,"""""Actress Sandra Bullock: 'Donald Trump Is Doing Everything To Improve Our Nation, If You Don’t Like Him Just…'""""",0.8406891599730786,,,Donald Trump,"(30, 42)",Is Doing,"(43, 51)",Everything,"(52, 62)",To Improve Our Nation,"(63, 84)",,,,,,,,,,,,,,,85
134,"""""Actress Sandra Bullock: 'Donald Trump Is Doing Everything To Improve Our Nation, If You Don’t Like Him Just…'""""",0.4649296389869295,,,You,"(89, 92)",Do n't Like,"(93, 103)",Him,"(104, 107)",,,,,,,,,,,,,,,,,85
138,"""The U.S. sold its embassy in ""the best site in all of London"" and ended up building a new one in a ""lousy location"" at a loss to taxpayers of about $750 million.""",0.946088940886002,,,The U.S.,"(6, 14)",sold,"(15, 19)",its embassy,"(20, 31)",,,,,,,,,,,,,in   the best site in all of London,"(32, 69)",,,89
139,"""""‘Smallville’ Star Confesses She Sold Children To Rothschilds And Clintons""""",0.5680679595514976,,,She,"(40, 43)",Sold,"(44, 48)",Children,"(49, 57)",To Clintons,"(58, 69)",,,,,,,,,,,,,,,90
140,"""""‘Smallville’ Star Confesses She Sold Children To Rothschilds And Clintons""""",0.5680679595514976,,,She,"(40, 43)",Sold,"(44, 48)",Children,"(49, 57)",To Rothschilds,"(58, 72)",,,,,,,,,,,,,,,90
141,"""""Black Men Arrested In Philadelphia Starbucks Settle For $2 Million""""",0.9180804252893388,,,Black Men,"(5, 14)",Arrested,"(15, 23)",For $2 Million,"(57, 71)",,,,,,,,,,,,,In Philadelphia Starbucks Settle,"(24, 56)",,,92
142,"""""Black Men Arrested In Philadelphia Starbucks Settle For $2 Million""""",0.9180804252893388,,,Black Men,"(5, 14)",Arrested,"(15, 23)",For $2 Million,"(57, 71)",,,,,,,,,,,,,In Philadelphia Starbucks Settle,"(24, 56)",,,7075
143,"""“In all fairness, Bob Mueller worked for Obama for eight years.”""",0.9644677377549716,,,Bob Mueller,"(21, 32)",worked,"(33, 39)",for Obama,"(40, 49)",,,,,,,for eight years,"(50, 65)",,,,,In all fairness,"(4, 19)",,,94
156,"""""John Kerry Facing Prison After Interfering With Iran.""""",0.9212499880074402,John Kerry Facing,"(5, 22)",John Kerry,"(5, 15)",Facing Prison After Interfering,"((16, 22), (23, 35))",With Iran,"(48, 57)",,,,,,,,,,,,,,,,,103
157,"""""John Kerry Facing Prison After Interfering With Iran.""""",0.9212499880074402,,,John Kerry,"(5, 15)",Facing,"(16, 22)",Prison,"(23, 29)",,,,,,,After Interfering With Iran,"(30, 57)",,,,,,,,,103
159,"""""The federal government has spent over $150,000, just the Secret Service alone, for the privilege of renting Donald Trump golf carts to protect Donald Trump on his rounds.""""",0.9990000128746032,,,The federal government,"(0, 0)",has spent,"(0, 0)",over $ 150000,,,,,,,,,,,,,,,,,,105
160,"""""The federal government has spent over $150,000, just the Secret Service alone, for the privilege of renting Donald Trump golf carts to protect Donald Trump on his rounds.""""",0.9148604023033654,,,The federal government,"(5, 27)",has spent,"(28, 37)","over $150,000","(38, 51)","just the Secret Service alone, for the privilege of renting Donald Trump golf carts to protect Donald Trump on his rounds","(53, 174)",,,,,,,,,,,,,,,105
161,"""On Senate confirmation of judicial nominees, “the Democrats are holding them up beyond anything -- beyond comprehension, they're holding them up.”""",0.9317084699871144,they 're holding up,"(124, 147)",the Democrats,"(49, 62)",are holding up,"((63, 74), (80, 82))",beyond anything,"(83, 98)",,,,,,,On Senate confirmation of judicial nominees,"(3, 46)",,,,,,,,,107
162,"""On Senate confirmation of judicial nominees, “the Democrats are holding them up beyond anything -- beyond comprehension, they're holding them up.”""",0.394022708801387,,,they,"(124, 128)",'re holding up,"((128, 139), (145, 147))",them,"(140, 144)",,,,,,,,,,,,,,,,,107
163,"""""US Surgeon, Who Exposed Clinton Foundation Corruption In Haiti, Found Dead""""",0.909070546360622,US Surgeon Found,"(5, 74)",US Surgeon,"(5, 15)",Found Dead Exposed,"((21, 28), (69, 74))",Clinton Foundation Corruption,"(29, 58)",,,,,,,,,,,,,In Haiti,"(59, 67)",,,108
164,"""""US Surgeon, Who Exposed Clinton Foundation Corruption In Haiti, Found Dead""""",0.9113876755508152,,,US Surgeon,"(5, 15)",Found,"(69, 74)",Dead,"(75, 79)",,,,,,,,,,,,,,,,,108
177,"""LAPD ignored an ICE detainer request and released a Mexican national arrested on a drug charge. ""Just a few weeks later, he was arrested again, this time for murder. They let him go, and he killed somebody.""""",0.20454204683219115,They let,"(132, 140)",him,"(141, 144)",go,"(145, 147)",,,,,,,,,,,,,,,,,,,115
178,"""LAPD ignored an ICE detainer request and released a Mexican national arrested on a drug charge. ""Just a few weeks later, he was arrested again, this time for murder. They let him go, and he killed somebody.""""",0.9111779447320654,,,a Mexican national,"(9, 27)",arrested,"(28, 36)",on a drug charge,"(37, 53)",,,,,,,,,,,,,,,,,115
179,"""LAPD ignored an ICE detainer request and released a Mexican national arrested on a drug charge. ""Just a few weeks later, he was arrested again, this time for murder. They let him go, and he killed somebody.""""",0.20454204683219115,They let,"(121, 129)",him,"(130, 133)",go,"(134, 136)",,,,,,,,,,,,,,,,,,,115
180,"""LAPD ignored an ICE detainer request and released a Mexican national arrested on a drug charge. ""Just a few weeks later, he was arrested again, this time for murder. They let him go, and he killed somebody.""""",0.540923781152326,LAPD ignored They let,"(6, 129)",he,"(74, 76)",was arrested,"(77, 89)",for murder,"(108, 118)",,,,,,,again,"(90, 95)",this time,"(98, 107)",Just a few weeks later,"(49, 71)",,,,,115
181,"""LAPD ignored an ICE detainer request and released a Mexican national arrested on a drug charge. ""Just a few weeks later, he was arrested again, this time for murder. They let him go, and he killed somebody.""""",0.8504108142245655,They let,"(121, 129)",LAPD,"(6, 10)",ignored,"(11, 18)",an ICE detainer request,"(19, 42)",,,,,,,,,,,,,,,,,115
182,"""LAPD ignored an ICE detainer request and released a Mexican national arrested on a drug charge. ""Just a few weeks later, he was arrested again, this time for murder. They let him go, and he killed somebody.""""",0.4799869260881808,,,They,"(121, 125)",let,"(126, 129)",him go,"(130, 136)",,,,,,,,,,,,,,,,,115
183,"""LAPD ignored an ICE detainer request and released a Mexican national arrested on a drug charge. ""Just a few weeks later, he was arrested again, this time for murder. They let him go, and he killed somebody.""""",0.4517038250665665,,,he,"(0, 2)",killed,"(3, 9)",somebody,"(10, 18)",,,,,,,,,,,,,,,,,115
185,"""“Over the history of planet Earth, far and away the #1 cause of sea level rise has been erosion and its resulting deposits of sediment and rocks into the world’s seas and oceans.""""",0.9509886498472006,,,the # 1 cause of sea level rise,"(48, 79)",has been,"(80, 88)",its resulting deposits of rocks into oceans,"(89, 132)",,,,,,,"Over the history of planet Earth , away","(8, 47)",,,,,,,,,118
186,"""“Over the history of planet Earth, far and away the #1 cause of sea level rise has been erosion and its resulting deposits of sediment and rocks into the world’s seas and oceans.""""",0.9688640631238076,,,the # 1 cause of sea level rise,"(48, 79)",has been,"(80, 88)",its resulting deposits of rocks into the world 's seas,"(89, 143)",,,,,,,"Over the history of planet Earth , away","(8, 47)",,,,,,,,,118
187,"""“Over the history of planet Earth, far and away the #1 cause of sea level rise has been erosion and its resulting deposits of sediment and rocks into the world’s seas and oceans.""""",0.9509886498472006,,,the # 1 cause of sea level rise,"(48, 79)",has been,"(80, 88)",its resulting deposits of sediment into oceans,"(89, 135)",,,,,,,"Over the history of planet Earth , away","(8, 47)",,,,,,,,,118
188,"""“Over the history of planet Earth, far and away the #1 cause of sea level rise has been erosion and its resulting deposits of sediment and rocks into the world’s seas and oceans.""""",0.9688640631238076,,,the # 1 cause of sea level rise,"(48, 79)",has been,"(80, 88)",its resulting deposits of sediment into the world 's seas,"(89, 146)",,,,,,,"Over the history of planet Earth , away","(8, 47)",,,,,,,,,118
189,"""“Over the history of planet Earth, far and away the #1 cause of sea level rise has been erosion and its resulting deposits of sediment and rocks into the world’s seas and oceans.""""",0.9553013209509542,,,far the # 1 cause of sea level rise,"(43, 78)",has been,"(79, 87)",its resulting deposits of rocks into oceans,"(88, 131)",,,,,,,Over the history of planet Earth,"(8, 40)",,,,,,,,,118
190,"""“Over the history of planet Earth, far and away the #1 cause of sea level rise has been erosion and its resulting deposits of sediment and rocks into the world’s seas and oceans.""""",0.9716507065648621,,,far the # 1 cause of sea level rise,"(43, 78)",has been,"(79, 87)",its resulting deposits of rocks into the world 's seas,"(88, 142)",,,,,,,Over the history of planet Earth,"(8, 40)",,,,,,,,,118
191,"""“Over the history of planet Earth, far and away the #1 cause of sea level rise has been erosion and its resulting deposits of sediment and rocks into the world’s seas and oceans.""""",0.9553013209509542,,,far the # 1 cause of sea level rise,"(43, 78)",has been,"(79, 87)",its resulting deposits of sediment into oceans,"(88, 134)",,,,,,,Over the history of planet Earth,"(8, 40)",,,,,,,,,118
192,"""“Over the history of planet Earth, far and away the #1 cause of sea level rise has been erosion and its resulting deposits of sediment and rocks into the world’s seas and oceans.""""",0.9716507065648621,,,far the # 1 cause of sea level rise,"(43, 78)",has been,"(79, 87)",its resulting deposits of sediment into the world 's seas,"(88, 145)",,,,,,,Over the history of planet Earth,"(8, 40)",,,,,,,,,118
193,"""“Over the history of planet Earth, far and away the #1 cause of sea level rise has been erosion and its resulting deposits of sediment and rocks into the world’s seas and oceans.""""",0.9727867803792272,,,the # 1 cause of sea level rise,"(48, 79)",has been,"(80, 88)",erosion,"(89, 96)",,,,,,,"Over the history of planet Earth , away","(8, 47)",,,,,,,,,118
194,"""“Over the history of planet Earth, far and away the #1 cause of sea level rise has been erosion and its resulting deposits of sediment and rocks into the world’s seas and oceans.""""",0.9752313187612264,,,far the # 1 cause of sea level rise,"(43, 78)",has been,"(79, 87)",erosion,"(88, 95)",,,,,,,Over the history of planet Earth,"(8, 40)",,,,,,,,,118
198,"""Jeff Bezos placed ""full page 'Michelle Obama for President' ads"" on Amazon""",0.926822645789899,,,Jeff Bezos,"(3, 13)",placed,"(14, 20)",full page 'Michelle Obama for President' ads,"(23, 67)",on Amazon,"(70, 79)",,,,,,,,,,,,,,,121
201,"""""Border Patrol Agents are not allowed to properly do their job at the Border because of ridiculous liberal (Democrat) laws like Catch & Release.""""",0.9249022730163128,,,Border Patrol Agents,"(5, 25)",to properly do,"(42, 56)",their job,"(57, 66)",because of ridiculous liberal (Democrat) laws like Catch & Release,"(81, 147)",,,,,,,,,,,at the Border,"(67, 80)",,,124
202,"""""Border Patrol Agents are not allowed to properly do their job at the Border because of ridiculous liberal (Democrat) laws like Catch & Release.""""",0.8034186648553394,,,Border Patrol Agents,"(5, 25)",are not allowed,"(26, 41)",,,,,,,,,,,,,,,,,,,124
205,"""“The Post Office is losing billions of dollars … because it delivers packages for Amazon at a very below cost.”""",0.4978219019954182,,,it,"(62, 64)",delivers,"(65, 73)",packages for Amazon,"(74, 93)",,,,,,,,,,,,,at a very below cost,"(94, 114)",,,127
206,"""“The Post Office is losing billions of dollars … because it delivers packages for Amazon at a very below cost.”""",0.9357729459540856,,,The Post Office,"(4, 19)",is losing,"(20, 29)",billions of dollars,"(30, 49)",because it delivers packages for Amazon at a very below cost,"(54, 114)",,,,,,,,,,,,,,,127
207,"""“We’ve recently seen the numbers of illegal border crossings rise from 40-year lows last April, back to previous levels.""""",0.9250589590935304,We 've seen,"(4, 23)",the numbers of illegal border crossings,"(24, 63)",rise back,"((64, 68), (99, 103))",from 40-year lows last April,"(69, 97)",,,,,,,,,,,,,,,,,128
208,"""“We’ve recently seen the numbers of illegal border crossings rise from 40-year lows last April, back to previous levels.""""",0.5880274891071936,,,We,"(4, 6)",'ve seen,"((6, 9), (19, 23))","the numbers of illegal border crossings rise from 40-year lows last April, back to previous levels","(24, 122)",,,,,,,recently,"(10, 18)",,,,,,,,,128
210,"""Sayfullo Saipov, the Uzbekistan national who was arrested in a terrorist attack in New York City last year, ""brought a lot of people with him. They say 22 people.""""",0.9990000128746032,,,They,"(0, 0)",say,"(0, 0)",22 people,,,,,,,,,,,,,,,,,,133
211,"""Sayfullo Saipov, the Uzbekistan national who was arrested in a terrorist attack in New York City last year, ""brought a lot of people with him. They say 22 people.""""",0.8226796839342737,"Sayfullo Saipov , the Uzbekistan national who was arrested in a terrorist attack in New York City last year ,   brought a lot of people with him say","(3, 155)",Sayfullo Saipov,"(3, 18)",brought,"(113, 120)",a lot of people,"(121, 136)",with him,"(137, 145)",,,,,,,,,,,,,,,133
212,"""Sayfullo Saipov, the Uzbekistan national who was arrested in a terrorist attack in New York City last year, ""brought a lot of people with him. They say 22 people.""""",0.9164592261952886,,,"Sayfullo Saipov, the Uzbekistan national who was arrested in a terrorist attack in New York City last year, brought a lot of people with him","(3, 145)",say,"(152, 155)",They,"(147, 151)",,,,,,,,,,,,,,,,,133
213,"""Sayfullo Saipov, the Uzbekistan national who was arrested in a terrorist attack in New York City last year, ""brought a lot of people with him. They say 22 people.""""",0.9277724913494432,,,Sayfullo Saipov,"(3, 18)",was arrested,"(48, 60)",,,,,,,,,last year,"(100, 109)",,,,,in a terrorist attack in New York City,"(61, 99)",,,133
218,"""""Facebook Will Give Koch Brothers ‘Unprecedented Access’ to Our Personal Information""""",0.8821938819052391,,,Facebook,"(5, 13)",Will Give,"(14, 23)",Koch Brothers 'Unprecedented Access,"(24, 59)",to Our Personal Information,"(61, 88)",,,,,,,,,,,,,,,137
219,"""""We've started building the wall"" at the Mexico border.""",0.3880890333449538,We 've started,"(5, 18)",We,"(5, 7)",'ve started building,"((7, 18), (19, 27))",the wall,"(28, 36)",,,,,,,,,,,,,,,,,138
